snapshot_date,platform_focus,warehouse,category,sku,on_hand,reserved,available,inbound_7d,safety_stock,days_of_cover,inventory_index,replenishment_priority,risk_flag,recommendation
2026-03-31,Douyin,华东仓,智能穿戴,旗舰手表X1,180,12,168,117,111,154.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,智能穿戴,旗舰手表X1,355,55,300,2,139,275.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,智能穿戴,旗舰手表X1,186,22,164,92,112,150.6,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,智能穿戴,旗舰手表X1,75,35,40,55,74,36.7,1.22,P1,healthy,维持常规补货节奏
2026-03-31,Douyin,华东仓,智能穿戴,运动手表Lite,265,37,228,86,115,156.6,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,智能穿戴,运动手表Lite,120,31,89,37,118,61.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,智能穿戴,运动手表Lite,80,22,58,149,59,39.8,1.33,P1,healthy,维持常规补货节奏
2026-03-31,Douyin,西南仓,智能穿戴,运动手表Lite,315,47,268,47,107,184.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,耳机,主动降噪蓝牙耳机Pro,191,9,182,29,80,102.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,耳机,主动降噪蓝牙耳机Pro,217,15,202,132,80,113.6,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,耳机,主动降噪蓝牙耳机Pro,227,46,181,122,97,101.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,耳机,主动降噪蓝牙耳机Pro,343,55,288,31,70,162.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,智能穿戴,儿童手表Lite,111,29,82,57,90,102.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,智能穿戴,儿童手表Lite,84,8,76,179,96,95.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,智能穿戴,儿童手表Lite,336,26,310,132,104,387.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,智能穿戴,儿童手表Lite,345,42,303,48,88,378.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,智能家居,智能门锁青春版,496,11,485,127,95,606.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,智能家居,智能门锁青春版,406,13,393,66,72,491.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,智能家居,智能门锁青春版,391,43,348,24,132,435.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,智能家居,智能门锁青春版,372,17,355,99,106,443.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,耳机,运动耳机Lite,160,52,108,91,130,78.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,耳机,运动耳机Lite,283,21,262,89,122,190.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,耳机,运动耳机Lite,195,20,175,111,140,127.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,耳机,运动耳机Lite,340,10,330,66,138,239.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,耳机,开放式耳夹耳机Air,282,8,274,63,78,286.7,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,耳机,开放式耳夹耳机Air,367,23,344,27,105,360.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,耳机,开放式耳夹耳机Air,398,10,388,27,65,406.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,耳机,开放式耳夹耳机Air,256,24,232,10,139,242.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华东仓,平板周边,磁吸键盘Air,164,13,151,16,114,188.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华南仓,平板周边,磁吸键盘Air,104,52,52,83,57,65.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
