order_id,order_date,platform,shop_name,region,category,sku,unit_price,quantity,gross_amount,discount_amount,refund_amount,net_amount,gross_profit,payment_channel,warehouse,traffic_source,promo_type,customer_type,inventory_before,inventory_after,inventory_risk,anomaly_note
ORD202602080001,2026-02-08,Douyin,抖音直播间,华东,电脑外设,USB-C扩展坞7合1,239,1,239,15.47,0.0,223.53,111.53,云闪付,华南仓,短视频种草,日常销售,冲动购,65,64,healthy,
ORD202601280002,2026-01-28,Pinduoduo,拼多多店铺,华北,电脑外设,机械键盘84配列,299,1,299,59.18,0.0,239.82,98.82,微信支付,华东仓,百亿补贴,平台大促,老客,70,69,healthy,
ORD202601080003,2026-01-08,Tmall,天猫旗舰店,西南,电脑外设,无线鼠标静音版,139,1,139,19.72,0.0,129.28,75.28,支付宝,华东仓,店播,平台大促,老客,98,97,healthy,
ORD202603200004,2026-03-20,JD,京东自营店,西南,电脑外设,机械键盘84配列,299,1,299,24.56,0.0,280.44,139.44,云闪付,华东仓,站内推荐,直播专场,新客,54,53,healthy,
ORD202601060005,2026-01-06,Douyin,抖音直播间,华中,手机配件,GaN氮化镓快充头30W,119,2,238,12.8,87.58,143.62,53.62,微信支付,华南仓,短视频种草,新品上新,新客,52,50,healthy,活动后退款偏高，需复盘详情页和售后承诺
ORD202603310006,2026-03-31,Tmall,天猫旗舰店,华南,智能家居,RGB氛围灯条,99,2,198,9.4,0.0,196.6,120.6,支付宝,西南仓,搜索,新品上新,新客,37,35,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602130007,2026-02-13,Tmall,天猫旗舰店,华南,电脑外设,USB-C扩展坞7合1,239,2,478,56.49,0.0,421.51,197.51,支付宝,华北仓,店播,清仓促销,新客,87,85,healthy,
ORD202602080008,2026-02-08,WeChatMall,微信小程序商城,华中,手机配件,编织数据线Type-C 2m,49,1,49,2.74,28.14,26.12,10.12,支付宝,西南仓,朋友圈,日常销售,老客,119,118,healthy,
ORD202603260009,2026-03-26,Douyin,抖音直播间,华南,手机配件,编织数据线Type-C 2m,49,1,49,9.99,0.0,49.01,33.01,支付宝,华北仓,达人直播,平台大促,冲动购,105,104,healthy,
ORD202602150010,2026-02-15,Kuaishou,快手品牌号,华南,智能家居,智能插座双口版,69,3,207,38.57,0.0,178.43,97.43,微信支付,西南仓,主播连麦,平台大促,复购客,22,19,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601030011,2026-01-03,Tmall,天猫旗舰店,华南,智能穿戴,旗舰手表X1,899,3,2697,227.27,0.0,2469.73,1113.73,支付宝,华南仓,搜索,平台大促,新客,110,107,healthy,
ORD202603100012,2026-03-10,Douyin,抖音直播间,华北,手机配件,GaN氮化镓快充头30W,119,3,357,21.63,0.0,335.37,200.37,微信支付,华东仓,达人直播,会员日,新客,32,29,healthy,
ORD202603010013,2026-03-01,Douyin,抖音直播间,华北,耳机,运动耳机Lite,199,1,199,35.78,0.0,163.22,77.22,支付宝,西南仓,短视频种草,清仓促销,冲动购,65,64,healthy,
ORD202603230014,2026-03-23,Douyin,抖音直播间,西南,耳机,开放式耳夹耳机Air,269,1,269,42.49,0.0,234.51,117.51,云闪付,华南仓,短视频种草,平台大促,新客,100,99,healthy,
ORD202602150015,2026-02-15,Tmall,天猫旗舰店,华南,耳机,主动降噪蓝牙耳机Pro,329,1,329,31.32,0.0,305.68,143.68,支付宝,华北仓,搜索,直播专场,老客,24,23,healthy,
ORD202603270016,2026-03-27,JD,京东自营店,华东,智能家居,智能插座双口版,69,1,69,2.97,0.0,72.03,45.03,京东支付,华北仓,站内推荐,新品上新,新客,103,102,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601210017,2026-01-21,Pinduoduo,拼多多店铺,华南,手机配件,GaN氮化镓快充头30W,119,2,238,40.21,0.0,207.79,117.79,微信支付,华北仓,百亿补贴,日常销售,新客,31,29,healthy,
ORD202603070018,2026-03-07,JD,京东自营店,华东,智能家居,RGB氛围灯条,99,3,297,19.19,0.0,287.81,173.81,支付宝,华东仓,企业团购,日常销售,新客,22,19,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602240019,2026-02-24,Pinduoduo,拼多多店铺,华北,耳机,开放式耳夹耳机Air,269,3,807,199.67,0.0,607.33,256.33,微信支付,西南仓,自然流量,平台大促,价格敏感,90,87,healthy,
ORD202603110020,2026-03-11,Tmall,天猫旗舰店,华南,平板周边,手写笔Pro,229,2,458,32.93,0.0,433.07,239.07,云闪付,华北仓,搜索,清仓促销,新客,106,104,healthy,
ORD202603290021,2026-03-29,WeChatMall,微信小程序商城,华南,智能家居,智能门锁青春版,1299,1,1299,40.1,0.0,1258.9,540.9,微信支付,西南仓,私域复购,日常销售,会员,59,58,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602180022,2026-02-18,Tmall,天猫旗舰店,西南,耳机,主动降噪蓝牙耳机Pro,329,1,329,31.21,0.0,297.79,135.79,微信支付,西南仓,会员复购,清仓促销,会员,85,84,healthy,
ORD202603090023,2026-03-09,Douyin,抖音直播间,西南,耳机,开放式耳夹耳机Air,269,1,269,42.48,0.0,236.52,119.52,微信支付,西南仓,达人直播,直播专场,冲动购,103,102,healthy,
ORD202601150024,2026-01-15,WeChatMall,微信小程序商城,东北,电脑外设,USB-C扩展坞7合1,239,3,717,8.21,0.0,708.79,372.79,微信支付,华东仓,朋友圈,日常销售,老客,58,55,healthy,
ORD202603040025,2026-03-04,Douyin,抖音直播间,西南,智能穿戴,儿童手表Lite,499,1,499,91.9,0.0,407.1,171.1,微信支付,华北仓,达人直播,平台大促,粉丝,109,108,healthy,
ORD202602190026,2026-02-19,Douyin,抖音直播间,华南,耳机,运动耳机Lite,199,3,597,58.84,0.0,538.16,280.16,微信支付,华北仓,达人直播,日常销售,新客,107,104,healthy,
ORD202602260027,2026-02-26,Tmall,天猫旗舰店,华东,智能家居,智能插座双口版,69,4,276,36.75,0.0,239.25,131.25,微信支付,华东仓,会员复购,平台大促,新客,58,54,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601050028,2026-01-05,Pinduoduo,拼多多店铺,华南,耳机,开放式耳夹耳机Air,269,1,269,55.25,0.0,219.75,102.75,微信支付,华东仓,百亿补贴,直播专场,老客,117,116,healthy,
ORD202602120029,2026-02-12,Tmall,天猫旗舰店,华南,电脑外设,USB-C扩展坞7合1,239,1,239,19.11,0.0,225.89,113.89,微信支付,华南仓,会员复购,平台大促,新客,105,104,healthy,
ORD202602080030,2026-02-08,Tmall,天猫旗舰店,华南,耳机,开放式耳夹耳机Air,269,1,269,30.61,0.0,248.39,131.39,微信支付,华东仓,搜索,直播专场,老客,39,38,healthy,
ORD202603160031,2026-03-16,WeChatMall,微信小程序商城,华中,智能家居,智能插座双口版,69,3,207,10.91,0.0,202.09,121.09,微信支付,华南仓,朋友圈,平台大促,老客,48,45,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601040032,2026-01-04,JD,京东自营店,西南,电脑外设,无线鼠标静音版,139,2,278,19.02,0.0,258.98,150.98,微信支付,华北仓,企业团购,会员日,新客,57,55,healthy,
ORD202601160033,2026-01-16,Douyin,抖音直播间,华东,手机配件,GaN氮化镓快充头30W,119,4,476,40.39,0.0,441.61,261.61,微信支付,西南仓,信息流,日常销售,新客,25,21,healthy,
ORD202602100034,2026-02-10,JD,京东自营店,西南,电脑外设,无线鼠标静音版,139,3,417,24.78,0.0,392.22,230.22,支付宝,华南仓,站内推荐,直播专场,企业客户,35,32,healthy,
ORD202602260035,2026-02-26,Douyin,抖音直播间,华北,耳机,主动降噪蓝牙耳机Pro,329,2,658,118.11,0.0,539.89,215.89,云闪付,西南仓,达人直播,日常销售,新客,64,62,healthy,
ORD202601280036,2026-01-28,Tmall,天猫旗舰店,华东,手机配件,磁吸无线充15W,159,2,318,28.37,0.0,289.63,163.63,支付宝,华南仓,会员复购,日常销售,新客,91,89,healthy,
ORD202603290037,2026-03-29,Tmall,天猫旗舰店,西南,智能穿戴,旗舰手表X1,899,1,899,90.35,0.0,814.65,362.65,云闪付,华北仓,搜索,直播专场,新客,65,64,healthy,
